Taxonomy,Target Concept,Base Concept,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9
DEAL/ASSET/ASSET_HOLDER/NAME,NAME,DEAL,ASSET,ASSET_HOLDER,NAME,,,,,
DEAL/COLLATERAL/SUBJECT_PROPERTY/ADDRESS,ADDRESS,DEAL,COLLATERAL,SUBJECT_PROPERTY,ADDRESS,,,,,
DEAL/LOAN/CLOSING_INFORMATION/CLOSING_INSTRUCTION/CLOSING_INSTRUCTION_DETAIL,CLOSING_INSTRUCTION_DETAIL,DEAL,LOAN,CLOSING_INFORMATION,CLOSING_INSTRUCTION,CLOSING_INSTRUCTION_DETAIL,,,,
DEAL/LOAN/SERVICING/SERVICING_DETAIL,SERVICING_DETAIL,DEAL,LOAN,SERVICING,SERVICING_DETAIL,,,,,
DEAL/LOAN/TERMS_OF_LOAN,TERMS_OF_LOAN,DEAL,LOAN,TERMS_OF_LOAN,,,,,,
DEAL/SERVICE/AUTOMATED_UNDERWRITING_SYSTEM/AUTOMATED_UNDERWRITING_SYSTEM_RESPONSE/LOAN/LOAN_DETAIL,LOAN_DETAIL,DEAL,SERVICE,AUTOMATED_UNDERWRITING_SYSTEM,AUTOMATED_UNDERWRITING_SYSTEM_RESPONSE,LOAN,LOAN_DETAIL,,,
DEAL/SERVICE/AUTOMATED_UNDERWRITING_SYSTEM/AUTOMATED_UNDERWRITING_SYSTEM_RESPONSE/LOAN/LOAN_IDENTIFIER,LOAN_IDENTIFIER,DEAL,SERVICE,AUTOMATED_UNDERWRITING_SYSTEM,AUTOMATED_UNDERWRITING_SYSTEM_RESPONSE,LOAN,LOAN_IDENTIFIER,,,
DEAL/SERVICE/CREDIT/CREDIT_RESPONSE/CREDIT_FILE/PARTY/ROLE/LOAN_ORIGINATOR,LOAN_ORIGINATOR,DEAL,SERVICE,CREDIT,CREDIT_RESPONSE,CREDIT_FILE,PARTY,ROLE,LOAN_ORIGINATOR,
DEAL/SERVICE/INSPECTION_SERVICE/INSPECTION_SERVICE_RESPONSE/PROPERTY/IMPROVEMENT/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL,PROPERTY_UNIT_DETAIL,DEAL,SERVICE,INSPECTION_SERVICE,INSPECTION_SERVICE_RESPONSE,PROPERTIES,PROPERTY,IMPROVEMENT,PROPERTY_UNIT,PROPERTY_UNIT_DETAIL
